光学特性参数,生成的光纤结构参数
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.0443047471344471, -0.021366385743021965, 2.917534351348877, 5.911149978637695, 7.619263648986816, 1.5666539669036865]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04513942077755928, -0.022547539323568344, 2.9036126136779785, 5.909436225891113, 7.617685317993164, 1.562396764755249]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04297391325235367, -0.02126404643058777, 2.9266350269317627, 5.906927108764648, 7.6021318435668945, 1.564927339553833]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04453139752149582, -0.021642189472913742, 2.909634590148926, 5.900165557861328, 7.611020088195801, 1.5636249780654907]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04503392055630684, -0.021739549934864044, 2.913602352142334, 5.911125183105469, 7.622869491577148, 1.5652520656585693]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.042652472853660583, -0.021766604855656624, 2.924475908279419, 5.905396461486816, 7.603182792663574, 1.5660276412963867]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04416842758655548, -0.0224454402923584, 2.9071614742279053, 5.910552501678467, 7.610116004943848, 1.5627301931381226]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04665112495422363, -0.021558016538619995, 2.91072940826416, 5.92064094543457, 7.636478424072266, 1.5637112855911255]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04420140013098717, -0.021873416379094124, 2.9156265258789062, 5.915464401245117, 7.619887351989746, 1.5667890310287476]"
"[5.545852184295654, 6.854891300201416, 1.4088749885559082, 0.5484495162963867, 0.4439561367034912, 1.8256027698516846]","[0.04481370747089386, -0.02060438133776188, 2.9223928451538086, 5.903080463409424, 7.616612434387207, 1.5665634870529175]"
