光学特性参数,生成的光纤结构参数
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04345247521996498, -0.018000612035393715, 2.9998910427093506, 5.951146125793457, 7.463874340057373, 1.5409274101257324]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04308810085058212, -0.01715109497308731, 2.9958412647247314, 5.957892417907715, 7.466466426849365, 1.54184889793396]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.044058892875909805, -0.019329771399497986, 3.019138813018799, 5.951669692993164, 7.47542142868042, 1.5396976470947266]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.040743060410022736, -0.01801779679954052, 2.955221176147461, 5.944519996643066, 7.4992289543151855, 1.5581048727035522]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04431258141994476, -0.017608607187867165, 3.0210049152374268, 5.964799404144287, 7.471965789794922, 1.536989688873291]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04615600034594536, -0.015233905054628849, 2.9924535751342773, 5.961478233337402, 7.418821334838867, 1.5302025079727173]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04500338062644005, -0.01782078668475151, 3.0189080238342285, 5.954649448394775, 7.454378128051758, 1.533714771270752]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045010294765233994, -0.017495786771178246, 3.0212252140045166, 5.959258079528809, 7.457108020782471, 1.5334645509719849]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04449552297592163, -0.016932738944888115, 3.014449119567871, 5.962711811065674, 7.459551811218262, 1.535295844078064]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04428653046488762, -0.017297370359301567, 3.0162906646728516, 5.963388919830322, 7.466486930847168, 1.536700963973999]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04245734214782715, -0.019435999915003777, 3.017815589904785, 5.96489953994751, 7.508460521697998, 1.5476300716400146]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04404813051223755, -0.018540991470217705, 3.0148847103118896, 5.954376220703125, 7.470104217529297, 1.5389268398284912]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.046299178153276443, -0.016767244786024094, 3.039294958114624, 5.971030235290527, 7.461853504180908, 1.5309709310531616]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.044199198484420776, -0.017753927037119865, 3.0212762355804443, 5.964946746826172, 7.474794387817383, 1.5376837253570557]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.042435139417648315, -0.01888635754585266, 3.0098555088043213, 5.962505340576172, 7.498733043670654, 1.5470142364501953]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04349728301167488, -0.02209603786468506, 2.9977147579193115, 5.915729999542236, 7.460921764373779, 1.5442492961883545]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.044170722365379333, -0.018207697197794914, 3.0185294151306152, 5.9591240882873535, 7.472011566162109, 1.5381405353546143]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04523524269461632, -0.017396334558725357, 3.032245397567749, 5.967669486999512, 7.466203689575195, 1.5326038599014282]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.0461481474339962, -0.01565130427479744, 3.004352331161499, 5.963779449462891, 7.430026054382324, 1.530410647392273]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04336990416049957, -0.01758335530757904, 3.006164312362671, 5.96085262298584, 7.473546981811523, 1.5411558151245117]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04638645052909851, -0.015547127462923527, 3.0060391426086426, 5.964759826660156, 7.43007755279541, 1.5303688049316406]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.042278241366147995, -0.019228894263505936, 2.9986798763275146, 5.951345443725586, 7.488011360168457, 1.5477495193481445]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04421505704522133, -0.020283615216612816, 3.0094447135925293, 5.933903694152832, 7.4599151611328125, 1.5394763946533203]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04552131146192551, -0.018215229734778404, 3.0279698371887207, 5.954848289489746, 7.456088542938232, 1.5323290824890137]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04419573023915291, -0.016848770901560783, 3.0086772441864014, 5.961138725280762, 7.458704471588135, 1.5365220308303833]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.044572651386260986, -0.017972532659769058, 3.0300464630126953, 5.967384338378906, 7.477878093719482, 1.5363045930862427]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.044291362166404724, -0.01777517795562744, 3.022986888885498, 5.965411186218262, 7.474974155426025, 1.5373008251190186]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.04614565894007683, -0.015618295408785343, 3.003350019454956, 5.963576793670654, 7.429102420806885, 1.5303940773010254]"
"[4.79721212387085, 5.885984897613525, 1.1848740577697754, 0.4911460280418396, 0.29318004846572876, 1.3842284679412842]","[0.045281339436769485, -0.016914499923586845, 3.0257058143615723, 5.965731620788574, 7.456902027130127, 1.5316869020462036]"
